SETTLEMENTDATE,TOTALDEMAND,forcastedDemand,testDemand
2018-10-29 22:00:00,1331.73,,1186.35
2018-10-29 22:30:00,1312.94,,1140.58
2018-10-29 23:00:00,1282.35,,1152.71
2018-10-29 23:30:00,1290.81,,1177.23
2018-10-30 00:00:00,1465.49,,1316.19
2018-10-30 00:30:00,1387.38,,1291.38
2018-10-30 01:00:00,1331.3,,1269.87
2018-10-30 01:30:00,1283.63,,1223.43
2018-10-30 02:00:00,1231.02,,1192.13
2018-10-30 02:30:00,1207.03,,1160.48
2018-10-30 03:00:00,1212.71,,1158.26
2018-10-30 03:30:00,1190.95,,1139.44
2018-10-30 04:00:00,1187.3,,1130.38
2018-10-30 04:30:00,1192.4,,1137.27
2018-10-30 05:00:00,1226.99,,1176.54
2018-10-30 05:30:00,1253.94,,1202.15
2018-10-30 06:00:00,1293.79,,1260.78
2018-10-30 06:30:00,1372.99,,1302.38
2018-10-30 07:00:00,1442.37,,1361.01
2018-10-30 07:30:00,1388.09,,1339.55
2018-10-30 08:00:00,1291.56,,1270.81
2018-10-30 08:30:00,1181.4,,1192.25
2018-10-30 09:00:00,1104.13,,1130.58
2018-10-30 09:30:00,1034.94,,1074.66
2018-10-30 10:00:00,973.58,,1036.51
2018-10-30 10:30:00,958.7,,989.14
2018-10-30 11:00:00,937.44,,967.39
2018-10-30 11:30:00,919.43,,968.08
2018-10-30 12:00:00,933.53,,974.73
2018-10-30 12:30:00,937.63,,955.72
2018-10-30 13:00:00,930.4,,953.03
2018-10-30 13:30:00,951.49,,965.43
2018-10-30 14:00:00,975.0,,959.19
2018-10-30 14:30:00,1005.11,,958.85
2018-10-30 15:00:00,1051.56,,992.03
2018-10-30 15:30:00,1136.35,,1032.71
2018-10-30 16:00:00,1201.85,,1067.74
2018-10-30 16:30:00,1303.19,,1109.85
2018-10-30 17:00:00,1378.8,,1203.65
2018-10-30 17:30:00,1466.35,,1280.87
2018-10-30 18:00:00,1496.16,,1372.64
2018-10-30 18:30:00,1464.1,,1411.73
2018-10-30 19:00:00,1450.41,,1455.74
2018-10-30 19:30:00,1458.47,,1471.55
2018-10-30 20:00:00,1484.47,,1500.2
2018-10-30 20:30:00,1451.96,,1462.72
2018-10-30 21:00:00,1417.43,,1403.94
2018-10-30 21:30:00,1368.78,,1355.08
2018-10-30 22:00:00,1324.18,,1315.17
2018-10-30 22:30:00,1311.91,,1303.64
2018-10-30 23:00:00,1271.33,,1280.03
2018-10-30 23:30:00,1258.27,,1295.39
2018-10-31 00:00:00,1441.09,,1427.48
2018-10-31 00:30:00,1382.89,,1374.34
2018-10-31 01:00:00,1354.46,,1331.95
2018-10-31 01:30:00,1277.46,,1293.0
2018-10-31 02:00:00,1246.5,,1247.75
2018-10-31 02:30:00,1233.04,,1223.55
2018-10-31 03:00:00,1200.21,,1231.44
2018-10-31 03:30:00,1211.78,,1215.27
2018-10-31 04:00:00,1169.9,,1207.01
2018-10-31 04:30:00,1193.59,,1217.41
2018-10-31 05:00:00,1219.03,,1243.64
2018-10-31 05:30:00,1244.78,,1268.04
2018-10-31 06:00:00,1332.57,,1297.05
2018-10-31 06:30:00,1404.71,,1368.86
2018-10-31 07:00:00,1465.88,,1427.59
2018-10-31 07:30:00,1441.37,,1371.21
2018-10-31 08:00:00,1361.35,,1293.28
2018-10-31 08:30:00,1299.37,,1206.78
2018-10-31 09:00:00,1260.86,,1144.75
2018-10-31 09:30:00,1218.74,,1092.16
2018-10-31 10:00:00,1172.31,,1052.5
2018-10-31 10:30:00,1154.08,,1035.84
2018-10-31 11:00:00,1158.27,,1012.43
2018-10-31 11:30:00,1153.87,,1013.41
2018-10-31 12:00:00,1140.22,,1013.37
2018-10-31 12:30:00,1152.67,,1012.93
2018-10-31 13:00:00,1181.7,,999.28
2018-10-31 13:30:00,1251.88,,1015.61
2018-10-31 14:00:00,1304.21,,1026.02
2018-10-31 14:30:00,1397.87,,1047.58
2018-10-31 15:00:00,1472.98,,1092.4
2018-10-31 15:30:00,1517.44,,1156.48
2018-10-31 16:00:00,1577.71,,1223.35
2018-10-31 16:30:00,1661.15,,1294.89
2018-10-31 17:00:00,1758.11,,1372.59
2018-10-31 17:30:00,1775.01,,1453.95
2018-10-31 18:00:00,1814.23,,1476.22
2018-10-31 18:30:00,1856.09,,1451.96
2018-10-31 19:00:00,1829.48,,1428.57
2018-10-25 20:30:00,,,1304.99
2018-10-25 21:00:00,,,1276.11
2018-10-25 21:30:00,,,1242.86
2018-10-25 22:00:00,,,1197.81
2018-10-25 22:30:00,,,1168.92
2018-10-25 23:00:00,,,1161.37
2018-10-25 23:30:00,,,1196.12
2018-10-26 00:00:00,,,1375.36
2018-10-26 00:30:00,,,1310.05
2018-10-26 01:00:00,,,1274.08
2018-10-26 01:30:00,,,1212.16
2018-10-26 02:00:00,,,1166.56
2018-10-26 02:30:00,,,1157.17
2018-10-26 03:00:00,,,1139.69
2018-10-26 03:30:00,,,1122.22
2018-10-26 04:00:00,,,1127.85
2018-10-26 04:30:00,,,1152.95
2018-10-26 05:00:00,,,1184.18
2018-10-26 05:30:00,,,1220.33
2018-10-26 06:00:00,,,1298.44
2018-10-26 06:30:00,,,1335.36
2018-10-26 07:00:00,,,1370.45
2018-10-26 07:30:00,,,1364.21
2018-10-26 08:00:00,,,1243.4
2018-10-26 08:30:00,,,1176.77
2018-10-26 09:00:00,,,1098.99
2018-10-26 09:30:00,,,1037.84
2018-10-26 10:00:00,,,997.76
2018-10-26 10:30:00,,,957.57
2018-10-26 11:00:00,,,936.12
2018-10-26 11:30:00,,,913.77
2018-10-26 12:00:00,,,908.95
2018-10-26 12:30:00,,,895.48
2018-10-26 13:00:00,,,908.32
2018-10-26 13:30:00,,,911.75
2018-10-26 14:00:00,,,929.98
2018-10-26 14:30:00,,,920.89
2018-10-26 15:00:00,,,949.4
2018-10-26 15:30:00,,,995.67
2018-10-26 16:00:00,,,1039.11
2018-10-26 16:30:00,,,1109.92
2018-10-26 17:00:00,,,1157.34
2018-10-26 17:30:00,,,1206.83
2018-10-26 18:00:00,,,1275.68
2018-10-26 18:30:00,,,1332.6
2018-10-26 19:00:00,,,1367.7
2018-10-26 19:30:00,,,1381.38
2018-10-26 20:00:00,,,1409.96
2018-10-26 20:30:00,,,1372.61
2018-10-26 21:00:00,,,1330.44
